"MI","Mumbai Indians","SRH","Sunrisers",30th Apr 2014 20:00 IST,"Dubai"
"RCB","Royal Challengers","SRH","Sunrisers",04 May 2014 20:00 IST,"Bengaluru"
"RR","Rajasthan Royals","SRH","Sunrisers",08 May 2014 20:00 IST,"Ahmedabad"
"Daredevils","Delhi Daredevils","SRH","Sunrisers",10th May 2014 16:00 IST,"Delhi"
"SRH","Sunrisers","MI","Mumbai Indians",12th May 2014 20:00 IST,"Hyderbad"
"SRH","Sunrisers","Kings XI","Kings XI Punjab",14th May 2014 16:00 IST,"Hyderbad"
"SRH","Sunrisers","KKR","Knight Riders",18th May 2014 20:00 IST,"Hyderbad"
"SRH","Sunrisers","RCB","Royal Challengers",20th May 2014 16:00 IST,"Hyderbad"
"CSK","Super Kings","SRH","Sunrisers",22nd May 2014 20:00 IST,"Chennai"
"KKR","Knight Riders","SRH","Sunrisers",24th May 2014 20:00 IST,"Kolkata"
